data_source,year,week,age_group,hsp_rate_rsv
Entire Network (RSV-NET),2018,9,18-49,0.1
Entire Network (RSV-NET),2018,10,18-49,0
Entire Network (RSV-NET),2018,11,18-49,0.1
Entire Network (RSV-NET),2018,12,18-49,0
Entire Network (RSV-NET),2018,13,18-49,0
Entire Network (RSV-NET),2018,14,18-49,0
Entire Network (RSV-NET),2018,15,18-49,0
Entire Network (RSV-NET),2018,16,18-49,0
Entire Network (RSV-NET),2018,17,18-49,0
Entire Network (RSV-NET),2018,18,18-49,0
Entire Network (RSV-NET),2017,40,50-64,0
Entire Network (RSV-NET),2017,41,50-64,0
Entire Network (RSV-NET),2017,42,50-64,0.1
Entire Network (RSV-NET),2017,43,50-64,0.1
Entire Network (RSV-NET),2017,44,50-64,0.1
Entire Network (RSV-NET),2017,45,50-64,0.2
Entire Network (RSV-NET),2017,46,50-64,0.1
Entire Network (RSV-NET),2017,47,50-64,0.2
Entire Network (RSV-NET),2017,48,50-64,0.3
Entire Network (RSV-NET),2017,49,50-64,0.4
Entire Network (RSV-NET),2017,50,50-64,0.4
Entire Network (RSV-NET),2017,51,50-64,0.5
Entire Network (RSV-NET),2017,52,50-64,0.6
Entire Network (RSV-NET),2018,1,50-64,1
Entire Network (RSV-NET),2018,2,50-64,0.8
Entire Network (RSV-NET),2018,3,50-64,0.9
Entire Network (RSV-NET),2018,4,50-64,0.7
Entire Network (RSV-NET),2018,5,50-64,0.7
Entire Network (RSV-NET),2018,6,50-64,0.6
Entire Network (RSV-NET),2018,7,50-64,0.6
Entire Network (RSV-NET),2018,8,50-64,0.5
Entire Network (RSV-NET),2018,9,50-64,0.5
Entire Network (RSV-NET),2018,10,50-64,0.4
Entire Network (RSV-NET),2018,11,50-64,0.3
Entire Network (RSV-NET),2018,12,50-64,0.3
Entire Network (RSV-NET),2018,13,50-64,0.3
Entire Network (RSV-NET),2018,14,50-64,0.1
Entire Network (RSV-NET),2018,15,50-64,0.1
Entire Network (RSV-NET),2018,16,50-64,0.1
Entire Network (RSV-NET),2018,17,50-64,0.1
Entire Network (RSV-NET),2018,18,50-64,0
Entire Network (RSV-NET),2017,40,65+,0
Entire Network (RSV-NET),2017,41,65+,0.1
Entire Network (RSV-NET),2017,42,65+,0.2
Entire Network (RSV-NET),2017,43,65+,0
Entire Network (RSV-NET),2017,44,65+,0.2
Entire Network (RSV-NET),2017,45,65+,0.2
Entire Network (RSV-NET),2017,46,65+,0.2
Entire Network (RSV-NET),2017,47,65+,0.3
Entire Network (RSV-NET),2017,48,65+,0.7
Entire Network (RSV-NET),2017,49,65+,1
Entire Network (RSV-NET),2017,50,65+,1.4
Entire Network (RSV-NET),2017,51,65+,1.3
Entire Network (RSV-NET),2017,52,65+,2
Entire Network (RSV-NET),2018,1,65+,3.2
Entire Network (RSV-NET),2018,2,65+,3.4
Entire Network (RSV-NET),2018,3,65+,2.9
Entire Network (RSV-NET),2018,4,65+,2.6
Entire Network (RSV-NET),2018,5,65+,2.5
Entire Network (RSV-NET),2018,6,65+,2.2
Entire Network (RSV-NET),2018,7,65+,2.3
Entire Network (RSV-NET),2018,8,65+,2.2
Entire Network (RSV-NET),2018,9,65+,1.8
Entire Network (RSV-NET),2018,10,65+,1.5
Entire Network (RSV-NET),2018,11,65+,1.8
Entire Network (RSV-NET),2018,12,65+,1.4
Entire Network (RSV-NET),2018,13,65+,0.7
Entire Network (RSV-NET),2018,14,65+,0.7
Entire Network (RSV-NET),2018,15,65+,0.7
Entire Network (RSV-NET),2018,16,65+,0.7
Entire Network (RSV-NET),2018,17,65+,0.2
Entire Network (RSV-NET),2018,18,65+,0
Entire Network (RSV-NET),2018,40,0-0.5,5.9
Entire Network (RSV-NET),2018,41,0-0.5,7.7
Entire Network (RSV-NET),2018,42,0-0.5,14.8
Entire Network (RSV-NET),2018,43,0-0.5,13
Entire Network (RSV-NET),2018,44,0-0.5,11.2
Entire Network (RSV-NET),2018,45,0-0.5,22.5
Entire Network (RSV-NET),2018,46,0-0.5,29
Entire Network (RSV-NET),2018,47,0-0.5,30.8
Entire Network (RSV-NET),2018,48,0-0.5,56.8
Entire Network (RSV-NET),2018,49,0-0.5,45.6
Entire Network (RSV-NET),2018,50,0-0.5,65.1
Entire Network (RSV-NET),2018,51,0-0.5,68.6
Entire Network (RSV-NET),2018,52,0-0.5,88.2
Entire Network (RSV-NET),2019,1,0-0.5,81.1
Entire Network (RSV-NET),2019,2,0-0.5,83.4
Entire Network (RSV-NET),2019,3,0-0.5,58
Entire Network (RSV-NET),2019,4,0-0.5,57.4
Entire Network (RSV-NET),2019,5,0-0.5,68.1
Entire Network (RSV-NET),2019,6,0-0.5,53.3
Entire Network (RSV-NET),2019,7,0-0.5,47.9
Entire Network (RSV-NET),2019,8,0-0.5,42
Entire Network (RSV-NET),2019,9,0-0.5,39.6
Entire Network (RSV-NET),2019,10,0-0.5,34.3
Entire Network (RSV-NET),2019,11,0-0.5,24.9
Entire Network (RSV-NET),2019,12,0-0.5,25.4
Entire Network (RSV-NET),2019,13,0-0.5,16.6
Entire Network (RSV-NET),2019,14,0-0.5,19.5
Entire Network (RSV-NET),2019,15,0-0.5,16
Entire Network (RSV-NET),2019,16,0-0.5,7.1
Entire Network (RSV-NET),2019,17,0-0.5,5.3
Entire Network (RSV-NET),2019,18,0-0.5,4.1
Entire Network (RSV-NET),2018,40,1-2,1.8
Entire Network (RSV-NET),2018,41,1-2,2.9
Entire Network (RSV-NET),2018,42,1-2,3.8
Entire Network (RSV-NET),2018,43,1-2,4.1
Entire Network (RSV-NET),2018,44,1-2,5
Entire Network (RSV-NET),2018,45,1-2,6.2
Entire Network (RSV-NET),2018,46,1-2,3.8
Entire Network (RSV-NET),2018,47,1-2,8
Entire Network (RSV-NET),2018,48,1-2,10.9
Entire Network (RSV-NET),2018,49,1-2,11.5
Entire Network (RSV-NET),2018,50,1-2,14.5
Entire Network (RSV-NET),2018,51,1-2,16.2
Entire Network (RSV-NET),2018,52,1-2,18.3
Entire Network (RSV-NET),2019,1,1-2,13
Entire Network (RSV-NET),2019,2,1-2,13.6
Entire Network (RSV-NET),2019,3,1-2,16.5
Entire Network (RSV-NET),2019,4,1-2,15
Entire Network (RSV-NET),2019,5,1-2,12.1
Entire Network (RSV-NET),2019,6,1-2,16.5
Entire Network (RSV-NET),2019,7,1-2,11.5
Entire Network (RSV-NET),2019,8,1-2,11.5
Entire Network (RSV-NET),2019,9,1-2,8.6
Entire Network (RSV-NET),2019,10,1-2,6.8
Entire Network (RSV-NET),2019,11,1-2,6.5
Entire Network (RSV-NET),2019,12,1-2,5.6
Entire Network (RSV-NET),2019,13,1-2,3.2
Entire Network (RSV-NET),2019,14,1-2,2.9
Entire Network (RSV-NET),2019,15,1-2,2.9
Entire Network (RSV-NET),2019,16,1-2,3.8
Entire Network (RSV-NET),2019,17,1-2,1.5
Entire Network (RSV-NET),2019,18,1-2,0.6
Entire Network (RSV-NET),2018,40,12-17,0
Entire Network (RSV-NET),2018,41,12-17,0
Entire Network (RSV-NET),2018,42,12-17,0
Entire Network (RSV-NET),2018,43,12-17,0
Entire Network (RSV-NET),2018,44,12-17,0.1
Entire Network (RSV-NET),2018,45,12-17,0
Entire Network (RSV-NET),2018,46,12-17,0.1
Entire Network (RSV-NET),2018,47,12-17,0.1
Entire Network (RSV-NET),2018,48,12-17,0
Entire Network (RSV-NET),2018,49,12-17,0.1
Entire Network (RSV-NET),2018,50,12-17,0
Entire Network (RSV-NET),2018,51,12-17,0.1
Entire Network (RSV-NET),2018,52,12-17,0
Entire Network (RSV-NET),2019,1,12-17,0.2
Entire Network (RSV-NET),2019,2,12-17,0.1
Entire Network (RSV-NET),2019,3,12-17,0.1
Entire Network (RSV-NET),2019,4,12-17,0
Entire Network (RSV-NET),2019,5,12-17,0.1
Entire Network (RSV-NET),2019,6,12-17,0.2
Entire Network (RSV-NET),2019,7,12-17,0
Entire Network (RSV-NET),2019,8,12-17,0.1
Entire Network (RSV-NET),2019,9,12-17,0.3
Entire Network (RSV-NET),2019,10,12-17,0.2
Entire Network (RSV-NET),2019,11,12-17,0
Entire Network (RSV-NET),2019,12,12-17,0
Entire Network (RSV-NET),2019,13,12-17,0
Entire Network (RSV-NET),2019,14,12-17,0
Entire Network (RSV-NET),2019,15,12-17,0
Entire Network (RSV-NET),2019,16,12-17,0
Entire Network (RSV-NET),2019,17,12-17,0
Entire Network (RSV-NET),2019,18,12-17,0
Entire Network (RSV-NET),2018,40,18-29,0
Entire Network (RSV-NET),2018,41,18-29,0.1
Entire Network (RSV-NET),2018,42,18-29,0
Entire Network (RSV-NET),2018,43,18-29,0
Entire Network (RSV-NET),2018,44,18-29,0
Entire Network (RSV-NET),2018,45,18-29,0.1
Entire Network (RSV-NET),2018,46,18-29,0
Entire Network (RSV-NET),2018,47,18-29,0
Entire Network (RSV-NET),2018,48,18-29,0
Entire Network (RSV-NET),2018,49,18-29,0.1
Entire Network (RSV-NET),2018,50,18-29,0.1
Entire Network (RSV-NET),2018,51,18-29,0
Entire Network (RSV-NET),2018,52,18-29,0
Entire Network (RSV-NET),2019,1,18-29,0.2
Entire Network (RSV-NET),2019,2,18-29,0.1
Entire Network (RSV-NET),2019,3,18-29,0.1
Entire Network (RSV-NET),2019,4,18-29,0
Entire Network (RSV-NET),2019,5,18-29,0.1
Entire Network (RSV-NET),2019,6,18-29,0
Entire Network (RSV-NET),2019,7,18-29,0.1
Entire Network (RSV-NET),2019,8,18-29,0.1
Entire Network (RSV-NET),2019,9,18-29,0.1
Entire Network (RSV-NET),2019,10,18-29,0.1
Entire Network (RSV-NET),2019,11,18-29,0
Entire Network (RSV-NET),2019,12,18-29,0
Entire Network (RSV-NET),2019,13,18-29,0
Entire Network (RSV-NET),2019,14,18-29,0
Entire Network (RSV-NET),2019,15,18-29,0
Entire Network (RSV-NET),2019,16,18-29,0
Entire Network (RSV-NET),2019,17,18-29,0
Entire Network (RSV-NET),2019,18,18-29,0
Entire Network (RSV-NET),2018,40,2-4,0.2
Entire Network (RSV-NET),2018,41,2-4,0.7
Entire Network (RSV-NET),2018,42,2-4,0.5
Entire Network (RSV-NET),2018,43,2-4,1.4
Entire Network (RSV-NET),2018,44,2-4,1.1
Entire Network (RSV-NET),2018,45,2-4,2.3
Entire Network (RSV-NET),2018,46,2-4,3
Entire Network (RSV-NET),2018,47,2-4,2.1
Entire Network (RSV-NET),2018,48,2-4,2.2
Entire Network (RSV-NET),2018,49,2-4,2.5
Entire Network (RSV-NET),2018,50,2-4,4.1
Entire Network (RSV-NET),2018,51,2-4,3.6
Entire Network (RSV-NET),2018,52,2-4,5
Entire Network (RSV-NET),2019,1,2-4,4.2
Entire Network (RSV-NET),2019,2,2-4,3.9
Entire Network (RSV-NET),2019,3,2-4,3.7
Entire Network (RSV-NET),2019,4,2-4,4
Entire Network (RSV-NET),2019,5,2-4,4.3
Entire Network (RSV-NET),2019,6,2-4,4.3
Entire Network (RSV-NET),2019,7,2-4,2.9
Entire Network (RSV-NET),2019,8,2-4,3.6
Entire Network (RSV-NET),2019,9,2-4,2.6
Entire Network (RSV-NET),2019,10,2-4,1.6
Entire Network (RSV-NET),2019,11,2-4,2.2
Entire Network (RSV-NET),2019,12,2-4,1.2
Entire Network (RSV-NET),2019,13,2-4,1.4
Entire Network (RSV-NET),2019,14,2-4,1
Entire Network (RSV-NET),2019,15,2-4,0.4
Entire Network (RSV-NET),2019,16,2-4,0.6
Entire Network (RSV-NET),2019,17,2-4,0.2
Entire Network (RSV-NET),2019,18,2-4,0.2
Entire Network (RSV-NET),2018,40,30-39,0
Entire Network (RSV-NET),2018,41,30-39,0
Entire Network (RSV-NET),2018,42,30-39,0
Entire Network (RSV-NET),2018,43,30-39,0
Entire Network (RSV-NET),2018,44,30-39,0
Entire Network (RSV-NET),2018,45,30-39,0.1
Entire Network (RSV-NET),2018,46,30-39,0
Entire Network (RSV-NET),2018,47,30-39,0
Entire Network (RSV-NET),2018,48,30-39,0
Entire Network (RSV-NET),2018,49,30-39,0.1
Entire Network (RSV-NET),2018,50,30-39,0.1
Entire Network (RSV-NET),2018,51,30-39,0.1
Entire Network (RSV-NET),2018,52,30-39,0.1
Entire Network (RSV-NET),2019,1,30-39,0.3
Entire Network (RSV-NET),2019,2,30-39,0.1
Entire Network (RSV-NET),2019,3,30-39,0.2
Entire Network (RSV-NET),2019,4,30-39,0.1
Entire Network (RSV-NET),2019,5,30-39,0
Entire Network (RSV-NET),2019,6,30-39,0.1
Entire Network (RSV-NET),2019,7,30-39,0.2
Entire Network (RSV-NET),2019,8,30-39,0.2
Entire Network (RSV-NET),2019,9,30-39,0.2
Entire Network (RSV-NET),2019,10,30-39,0.1
Entire Network (RSV-NET),2019,11,30-39,0.1
Entire Network (RSV-NET),2019,12,30-39,0
Entire Network (RSV-NET),2019,13,30-39,0
Entire Network (RSV-NET),2019,14,30-39,0.1
Entire Network (RSV-NET),2019,15,30-39,0
Entire Network (RSV-NET),2019,16,30-39,0
Entire Network (RSV-NET),2019,17,30-39,0
Entire Network (RSV-NET),2019,18,30-39,0
Entire Network (RSV-NET),2018,40,40-49,0
Entire Network (RSV-NET),2018,41,40-49,0
Entire Network (RSV-NET),2018,42,40-49,0
Entire Network (RSV-NET),2018,43,40-49,0
