data_source,year,week,age_group,hsp_rate_flu
FluSurv-NET,2017,45,0-4,0.2
FluSurv-NET,2017,46,0-4,0.4
FluSurv-NET,2017,47,0-4,0.7
FluSurv-NET,2017,48,0-4,0.9
FluSurv-NET,2017,49,0-4,0.9
FluSurv-NET,2017,50,0-4,1.8
FluSurv-NET,2017,51,0-4,2.7
FluSurv-NET,2017,52,0-4,5.3
FluSurv-NET,2018,1,0-4,4.2
FluSurv-NET,2018,2,0-4,5
FluSurv-NET,2018,3,0-4,4.7
FluSurv-NET,2018,4,0-4,7.3
FluSurv-NET,2018,5,0-4,6.8
FluSurv-NET,2018,6,0-4,6.5
FluSurv-NET,2018,7,0-4,5.4
FluSurv-NET,2018,8,0-4,4.3
FluSurv-NET,2018,9,0-4,2.4
FluSurv-NET,2018,10,0-4,2
FluSurv-NET,2018,11,0-4,1.9
FluSurv-NET,2018,12,0-4,2.3
FluSurv-NET,2018,13,0-4,1.2
FluSurv-NET,2018,14,0-4,0.9
FluSurv-NET,2018,15,0-4,0.9
FluSurv-NET,2018,16,0-4,0.6
FluSurv-NET,2018,17,0-4,1.1
FluSurv-NET,2017,40,5-17,0
FluSurv-NET,2017,41,5-17,0
FluSurv-NET,2017,42,5-17,0
FluSurv-NET,2017,43,5-17,0
FluSurv-NET,2017,44,5-17,0.1
FluSurv-NET,2017,45,5-17,0.1
FluSurv-NET,2017,46,5-17,0.2
FluSurv-NET,2017,47,5-17,0.2
FluSurv-NET,2017,48,5-17,0.2
FluSurv-NET,2017,49,5-17,0.3
FluSurv-NET,2017,50,5-17,0.6
FluSurv-NET,2017,51,5-17,0.6
FluSurv-NET,2017,52,5-17,0.9
FluSurv-NET,2018,1,5-17,0.8
FluSurv-NET,2018,2,5-17,1.3
FluSurv-NET,2018,3,5-17,1.3
FluSurv-NET,2018,4,5-17,1.4
FluSurv-NET,2018,5,5-17,2.1
FluSurv-NET,2018,6,5-17,1.9
FluSurv-NET,2018,7,5-17,1.7
FluSurv-NET,2018,8,5-17,1.6
FluSurv-NET,2018,9,5-17,0.8
FluSurv-NET,2018,10,5-17,0.7
FluSurv-NET,2018,11,5-17,0.5
FluSurv-NET,2018,12,5-17,0.6
FluSurv-NET,2018,13,5-17,0.5
FluSurv-NET,2018,14,5-17,0.2
FluSurv-NET,2018,15,5-17,0.1
FluSurv-NET,2018,16,5-17,0.2
FluSurv-NET,2018,17,5-17,0.3
FluSurv-NET,2017,40,18-49,0.1
FluSurv-NET,2017,41,18-49,0
FluSurv-NET,2017,42,18-49,0.1
FluSurv-NET,2017,43,18-49,0
FluSurv-NET,2017,44,18-49,0.1
FluSurv-NET,2017,45,18-49,0.1
FluSurv-NET,2017,46,18-49,0.2
FluSurv-NET,2017,47,18-49,0.3
FluSurv-NET,2017,48,18-49,0.4
FluSurv-NET,2017,49,18-49,0.5
FluSurv-NET,2017,50,18-49,0.7
FluSurv-NET,2017,51,18-49,1.4
FluSurv-NET,2017,52,18-49,2.1
FluSurv-NET,2018,1,18-49,2.5
FluSurv-NET,2018,2,18-49,3
FluSurv-NET,2018,3,18-49,2.6
FluSurv-NET,2018,4,18-49,2.6
FluSurv-NET,2018,5,18-49,2.3
FluSurv-NET,2018,6,18-49,2.4
FluSurv-NET,2018,7,18-49,1.8
FluSurv-NET,2018,8,18-49,1.4
FluSurv-NET,2018,9,18-49,1
FluSurv-NET,2018,10,18-49,0.8
FluSurv-NET,2018,11,18-49,0.7
FluSurv-NET,2018,12,18-49,0.7
FluSurv-NET,2018,13,18-49,0.7
FluSurv-NET,2018,14,18-49,0.6
FluSurv-NET,2018,15,18-49,0.3
FluSurv-NET,2018,16,18-49,0.3
FluSurv-NET,2018,17,18-49,0.3
FluSurv-NET,2017,40,50-64,0.1
FluSurv-NET,2017,41,50-64,0.1
FluSurv-NET,2017,42,50-64,0.2
FluSurv-NET,2017,43,50-64,0.3
FluSurv-NET,2017,44,50-64,0.3
FluSurv-NET,2017,45,50-64,0.5
FluSurv-NET,2017,46,50-64,0.5
FluSurv-NET,2017,47,50-64,0.9
FluSurv-NET,2017,48,50-64,1
FluSurv-NET,2017,49,50-64,1.3
FluSurv-NET,2017,50,50-64,2.7
FluSurv-NET,2017,51,50-64,5.7
