start_date,year,week
2021-10-17,2021,42
2021-10-24,2021,43
2021-10-31,2021,44
2021-11-07,2021,45
2021-11-14,2021,46
2021-11-21,2021,47
2021-11-28,2021,48
2021-12-05,2021,49
2021-12-12,2021,50
2021-12-19,2021,51
2021-12-26,2021,52
2022-01-02,2022,1
2022-01-09,2022,2
2022-01-16,2022,3
2022-01-23,2022,4
2022-01-30,2022,5
2022-02-06,2022,6
2022-02-13,2022,7
2022-02-20,2022,8
2022-02-27,2022,9
2022-03-06,2022,10
2022-03-13,2022,11
2022-03-20,2022,12
2022-03-27,2022,13
2022-04-03,2022,14
2022-04-10,2022,15
2022-04-17,2022,16
2022-04-24,2022,17
2022-05-01,2022,18
2022-05-08,2022,19
2022-05-15,2022,20
2022-05-22,2022,21
2022-05-29,2022,22
2022-06-05,2022,23
2022-06-12,2022,24
2022-06-19,2022,25
2022-06-26,2022,26
2022-07-03,2022,27
2022-07-10,2022,28
2022-07-17,2022,29
2022-07-24,2022,30
2022-07-31,2022,31
2022-08-07,2022,32
2022-08-14,2022,33
2022-08-21,2022,34
2022-08-28,2022,35
2022-09-04,2022,36
2022-09-11,2022,37
2022-09-18,2022,38
2022-09-25,2022,39
2022-10-02,2022,40
2022-10-09,2022,41
2022-10-16,2022,42
2022-10-23,2022,43
2022-10-30,2022,44
2022-11-06,2022,45
2022-11-13,2022,46
2022-11-20,2022,47
2022-11-27,2022,48
2022-12-04,2022,49
2022-12-11,2022,50
2022-12-18,2022,51
2022-12-25,2022,52
2023-01-01,2023,1
2023-01-08,2023,2
2023-01-01,2023,1
2023-01-08,2023,2
2023-01-22,2023,3
2023-01-29,2023,4
2023-02-05,2023,5
2023-02-12,2023,6
