data_source,country,hemisphere,week,year,origin_source,hsp_rate_flu,hsp_rate_rsv,hsp_abs_flu,hsp_abs_rsv,denominator,subtype_a_abs,subtype_b_abs
fluNet,France,NH,44,2017,NONSENTINEL,0.038873667771371585,0.3782706902368081,26,253,66883321,22,4
fluNet,France,NH,44,2017,SENTINEL,0,0.0059805642725187045,0,4,66883321,0,0
fluNet,France,NH,45,2017,NONSENTINEL,0.029902821362593524,0.44256175616638416,20,296,66883321,13,7
fluNet,France,NH,45,2017,SENTINEL,0.004485423204389028,0.0029902821362593522,3,2,66883321,2,1
fluNet,France,NH,46,2017,SENTINEL,0.007475705340648381,0.013456269613167085,5,9,66883321,4,1
fluNet,France,NH,46,2017,NONSENTINEL,0.047844514180149636,0.5711438880255363,32,382,66883321,26,6
fluNet,France,NH,47,2017,NONSENTINEL,0.10465987476907733,1.039123042350125,70,695,66883321,55,15
fluNet,France,NH,47,2017,SENTINEL,0.014951410681296762,0.013456269613167085,10,9,66883321,7,3
fluNet,France,NH,48,2017,NONSENTINEL,0.17343636390304243,1.2110642651850376,116,810,66883321,92,24
fluNet,France,NH,48,2017,SENTINEL,0.025417398158204492,0.017941692817556112,17,12,66883321,12,5
fluNet,France,NH,49,2017,NONSENTINEL,0.4634937311201996,1.3291804095672821,310,889,66883321,239,71
fluNet,France,NH,49,2017,SENTINEL,0.04634937311201996,0.0313979624307232,31,21,66883321,23,8
fluNet,France,NH,50,2017,NONSENTINEL,0.9150263336953618,1.5340147359010476,612,1026,66883321,470,142
fluNet,France,NH,50,2017,SENTINEL,0.11811614438224442,0.029902821362593524,79,20,66883321,64,15
fluNet,France,NH,51,2017,SENTINEL,0.18390235137995017,0.014951410681296762,123,10,66883321,97,26
fluNet,France,NH,51,2017,NONSENTINEL,1.850984642344539,1.61624749464818,1238,1081,66883321,922,316
fluNet,France,NH,52,2017,NONSENTINEL,3.2145532964788037,1.6057815071712722,2150,1074,66883321,1610,540
fluNet,France,NH,52,2017,SENTINEL,0.1196112854503741,0.02242711602194514,80,15,66883321,56,24
fluNet,France,NH,1,2018,SENTINEL,0.1459961211810115,0.0208565887401445,98,14,67125071,68,30
fluNet,France,NH,1,2018,NONSENTINEL,3.4562347055096594,1.5523261048021832,2320,1042,67125071,1486,834
fluNet,France,NH,2,2018,SENTINEL,0.1459961211810115,0.022346345078726248,98,15,67125071,61,37
fluNet,France,NH,2,2018,NONSENTINEL,2.3150813501560394,1.0472987060229701,1554,703,67125071,883,671
fluNet,France,NH,3,2018,NONSENTINEL,2.0633125289357235,0.7121035298420765,1385,478,67125071,859,526
fluNet,France,NH,3,2018,SENTINEL,0.17132197893690124,0.01936683240156275,115,13,67125071,68,47
fluNet,France,NH,4,2018,NONSENTINEL,1.9396627528334383,0.5884537537397911,1302,395,67125071,766,536
fluNet,France,NH,4,2018,SENTINEL,0.18770929866130048,0.017877076062980998,126,12,67125071,74,52
fluNet,France,NH,5,2018,NONSENTINEL,1.9158266514161304,0.5422713072437569,1286,364,67125071,704,582
fluNet,France,NH,5,2018,SENTINEL,0.18175027330697346,0.014897563385817499,122,10,67125071,53,69
fluNet,France,NH,6,2018,SENTINEL,0.16089368456682898,0.005959025354327,108,4,67125071,45,63
fluNet,France,NH,6,2018,NONSENTINEL,1.8800724992901683,0.37094932830685573,1262,249,67125071,668,594
fluNet,France,NH,7,2018,SENTINEL,0.1459961211810115,0.013407807047235749,98,9,67125071,43,55
fluNet,France,NH,7,2018,NONSENTINEL,2.2376140205497883,0.35158249590529295,1502,236,67125071,684,818
fluNet,France,NH,8,2018,NONSENTINEL,2.444690151612652,0.3783981099997645,1641,254,67125071,576,1065
fluNet,France,NH,8,2018,SENTINEL,0.18026051696839174,0.00148975633858175,121,1,67125071,40,81
fluNet,France,NH,9,2018,NONSENTINEL,2.538544800943302,0.30540004940925874,1704,205,67125071,649,1055
fluNet,France,NH,9,2018,SENTINEL,0.14301660850384798,0.0029795126771635,96,2,67125071,38,58
fluNet,France,NH,10,2018,NONSENTINEL,2.481934060077195,0.23985077051166173,1666,161,67125071,501,1165
fluNet,France,NH,10,2018,SENTINEL,0.13556782681093923,0.005959025354327,91,4,67125071,30,61
fluNet,France,NH,11,2018,SENTINEL,0.0923648929920685,0,62,0,67125071,22,40
fluNet,France,NH,11,2018,NONSENTINEL,1.8666646922429326,0.15940392822824725,1253,107,67125071,345,908
fluNet,France,NH,12,2018,SENTINEL,0.07895708594483275,0.00148975633858175,53,1,67125071,18,35
fluNet,France,NH,12,2018,NONSENTINEL,1.090501639841841,0.17877076062980998,732,120,67125071,230,502
fluNet,France,NH,13,2018,NONSENTINEL,1.0026060158655177,0.13258831413377573,673,89,67125071,209,464
fluNet,France,NH,13,2018,SENTINEL,0.0506517155117795,0,34,0,67125071,9,25
fluNet,France,NH,14,2018,NONSENTINEL,0.6152693678342627,0.08789562397632324,413,59,67125071,145,268
fluNet,France,NH,14,2018,SENTINEL,0.016387319724399246,0,11,0,67125071,5,6
fluNet,France,NH,15,2018,NONSENTINEL,0.42011128748005344,0.11322148173221298,282,76,67125071,95,187
fluNet,France,NH,15,2018,SENTINEL,0.0208565887401445,0.00148975633858175,14,1,67125071,3,11
fluNet,France,NH,16,2018,SENTINEL,0.0029795126771635,0,2,0,67125071,0,2
fluNet,France,NH,16,2018,NONSENTINEL,0.18770929866130048,0.059590253543269994,126,40,67125071,41,85
