data_source,country,hemisphere,week,year,age_group,cumulative_cases,denominator
minsal,CHI,sh,41,2022,0-5,4764,19828563
minsal,CHI,sh,41,2022,5-17,4801,19828563
minsal,CHI,sh,41,2022,18-49,68110,19828563
minsal,CHI,sh,41,2022,50-59,38084,19828563
minsal,CHI,sh,41,2022,60-69,41135,19828563
minsal,CHI,sh,41,2022,70-79,35504,19828563
minsal,CHI,sh,41,2022,80+,29465,19828563
minsal,CHI,sh,42,2022,0-5,4810,19828563
minsal,CHI,sh,42,2022,5-17,4828,19828563
minsal,CHI,sh,42,2022,18-49,68308,19828563
minsal,CHI,sh,42,2022,50-59,38187,19828563
minsal,CHI,sh,42,2022,60-69,41282,19828563
minsal,CHI,sh,42,2022,70-79,35665,19828563
minsal,CHI,sh,42,2022,80+,29641,19828563
minsal,CHI,sh,43,2022,0-5,4867,19828563
minsal,CHI,sh,43,2022,5-17,4860,19828563
minsal,CHI,sh,43,2022,18-49,68576,19828563
minsal,CHI,sh,43,2022,50-59,38303,19828563
minsal,CHI,sh,43,2022,60-69,41458,19828563
minsal,CHI,sh,43,2022,70-79,35871,19828563
minsal,CHI,sh,43,2022,80+,29867,19828563
minsal,CHI,sh,44,2022,0-5,4918,19828563
minsal,CHI,sh,44,2022,5-17,4883,19828563
minsal,CHI,sh,44,2022,18-49,68774,19828563
minsal,CHI,sh,44,2022,50-59,38385,19828563
minsal,CHI,sh,44,2022,60-69,41601,19828563
minsal,CHI,sh,44,2022,70-79,36045,19828563
minsal,CHI,sh,44,2022,80+,30084,19828563
minsal,CHI,sh,45,2022,0-5,4996,19828563
minsal,CHI,sh,45,2022,5-17,4921,19828563
minsal,CHI,sh,45,2022,18-49,69063,19828563
minsal,CHI,sh,45,2022,50-59,38505,19828563
minsal,CHI,sh,45,2022,60-69,41788,19828563
minsal,CHI,sh,45,2022,70-79,36288,19828563
minsal,CHI,sh,45,2022,80+,30411,19828563
minsal,CHI,sh,46,2022,0-5,5054,19828563
minsal,CHI,sh,46,2022,5-17,4957,19828563
minsal,CHI,sh,46,2022,18-49,69307,19828563
minsal,CHI,sh,46,2022,50-59,38633,19828563
minsal,CHI,sh,46,2022,60-69,41976,19828563
minsal,CHI,sh,46,2022,70-79,36521,19828563
minsal,CHI,sh,46,2022,80+,30682,19828563
minsal,CHI,sh,47,2022,0-5,5106,19828563
minsal,CHI,sh,47,2022,5-17,4989,19828563
minsal,CHI,sh,47,2022,18-49,69580,19828563
minsal,CHI,sh,47,2022,50-59,38764,19828563
minsal,CHI,sh,47,2022,60-69,42151,19828563
minsal,CHI,sh,47,2022,70-79,36744,19828563
minsal,CHI,sh,47,2022,80+,30958,19828563
minsal,CHI,sh,48,2022,0-5,5149,19828563
minsal,CHI,sh,48,2022,5-17,5015,19828563
minsal,CHI,sh,48,2022,18-49,69813,19828563
