data_source,country,hemisphere,week,year,age_group,cases_flu,cases_rsv,cases_covid19,denominator
SARI epi.minsal,CHI,sh,5,2022,ALL,10,0,60,19828563
SARI epi.minsal,CHI,sh,6,2022,ALL,7,0,46,19828563
SARI epi.minsal,CHI,sh,7,2022,ALL,3,0,40,19828563
SARI epi.minsal,CHI,sh,8,2022,ALL,4,0,54,19828563
SARI epi.minsal,CHI,sh,9,2022,ALL,2,1,54,19828563
SARI epi.minsal,CHI,sh,10,2022,ALL,3,0,63,19828563
SARI epi.minsal,CHI,sh,11,2022,ALL,2,0,81,19828563
SARI epi.minsal,CHI,sh,12,2022,ALL,7,1,93,19828563
SARI epi.minsal,CHI,sh,13,2022,ALL,8,0,90,19828563
SARI epi.minsal,CHI,sh,14,2022,ALL,7,1,83,19828563
SARI epi.minsal,CHI,sh,15,2022,ALL,20,1,93,19828563
SARI epi.minsal,CHI,sh,16,2022,ALL,19,0,120,19828563
SARI epi.minsal,CHI,sh,17,2022,ALL,34,2,145,19828563
SARI epi.minsal,CHI,sh,18,2022,ALL,67,7,185,19828563
SARI epi.minsal,CHI,sh,19,2022,ALL,68,5,178,19828563
SARI epi.minsal,CHI,sh,20,2022,ALL,82,10,202,19828563
SARI epi.minsal,CHI,sh,21,2022,ALL,96,11,180,19828563
SARI epi.minsal,CHI,sh,22,2022,ALL,99,9,188,19828563
SARI epi.minsal,CHI,sh,23,2022,ALL,105,16,194,19828563
SARI epi.minsal,CHI,sh,24,2022,ALL,92,24,186,19828563
SARI epi.minsal,CHI,sh,25,2022,ALL,100,19,175,19828563
SARI epi.minsal,CHI,sh,26,2022,ALL,75,24,171,19828563
SARI epi.minsal,CHI,sh,27,2022,ALL,71,34,148,19828563
SARI epi.minsal,CHI,sh,28,2022,ALL,52,32,140,19828563
SARI epi.minsal,CHI,sh,29,2022,ALL,36,23,105,19828563
SARI epi.minsal,CHI,sh,30,2022,ALL,33,22,121,19828563
SARI epi.minsal,CHI,sh,31,2022,ALL,31,22,107,19828563
SARI epi.minsal,CHI,sh,32,2022,ALL,38,29,120,19828563
SARI epi.minsal,CHI,sh,33,2022,ALL,22,22,117,19828563
SARI epi.minsal,CHI,sh,34,2022,ALL,28,27,119,19828563
SARI epi.minsal,CHI,sh,35,2022,ALL,31,30,127,19828563
SARI epi.minsal,CHI,sh,36,2022,ALL,26,25,122,19828563
SARI epi.minsal,CHI,sh,37,2022,ALL,16,10,83,19828563
SARI epi.minsal,CHI,sh,38,2022,ALL,16,10,89,19828563
SARI epi.minsal,CHI,sh,39,2022,ALL,14,10,109,19828563
SARI epi.minsal,CHI,sh,40,2022,ALL,12,7,106,19828563
SARI epi.minsal,CHI,sh,41,2022,ALL,13,2,101,19828563
SARI epi.minsal,CHI,sh,42,2022,ALL,24,5,107,19828563
SARI epi.minsal,CHI,sh,43,2022,ALL,31,3,116,19828563
SARI epi.minsal,CHI,sh,44,2022,ALL,47,5,107,19828563
SARI epi.minsal,CHI,sh,45,2022,ALL,35,4,112,19828563
SARI epi.minsal,CHI,sh,46,2022,ALL,41,8,124,19828563
SARI epi.minsal,CHI,sh,47,2022,ALL,37,6,113,19828563
SARI epi.minsal,CHI,sh,48,2022,ALL,55,3,122,19828563
SARI epi.minsal,CHI,sh,49,2022,ALL,36,10,128,19828563
SARI epi.minsal,CHI,sh,50,2022,ALL,25,10,124,19828563
SARI epi.minsal,CHI,sh,51,2022,ALL,20,4,101,19828563
SARI epi.minsal,CHI,sh,52,2022,ALL,1,2,26,19828563
